Body Id,Platform,Primer Color,Topcoat Color,Topcoat Last Used,Ambient Humidity,Ambient Temperature,Paint Temperature,Paint Pressure,Electrical Resistivity,Paint Viscosity,Basecoat Humidity,Basecoat Temperature,Clearcoat Humidity,Clearcoat Temperature,Engine Run Number,Primer Applied,Dust Defect
U3A6L38416,U301,PK02,BK26,15,35.2788582,29.6984444,25.6000004,6.24269676,616,41.9,34.0953331,29.53956223,69.8184204,25.0518837,2,1,0
VNA6L51357,BLR,MK08,BK12,23,33.5830116,30.3080444,25.2999992,6.30561781,616,41.9,35.11997604,29.53956223,69.9481201,25.019455,1,1,1
VNA6L51366,BLR,MK08,BK12,3,35.3112869,30.0518837,25.1000004,6.27865171,616,41.9,36.14461899,29.53956223,69.8832703,25.0518837,1,1,1
AWA6L11104,W207,MK09,BK11,12,34.2217903,30.5317802,25,6.4000001,616,41.9,36.14461899,29.53956223,69.9156952,25.1491585,1,1,0
U3A6L38435,U301,MK09,BK11,2,32.9085617,30.979248,25,6.27415752,616,41.9,37.16926193,28.51167679,69.8184204,25.0843086,1,1,1
U3A6L38411,U301,PK02,BK26,16,34.3839188,30.7230873,24.8999996,6.260674,616,41.9,37.16926193,28.51167679,70.3015594,24.98703,2,1,0
AWA6L11027,W207,MK09,BK11,6,34.6076546,30.8852158,24.8999996,6.22921371,616,41.9,38.19714737,28.51167679,70.0453949,25.1491585,2,1,0
AWA6L11103,W207,MK09,BK11,3,33.2295723,31.3651123,25.3999996,6.35505629,616,41.9,38.19714737,28.51167679,70.1070099,25.1167336,1,1,0
AWA6L11097,W207,MK09,BK11,1,33.2295723,31.3651123,26.2000008,6.21797752,616,41.9,38.19714737,28.51167679,69.8832703,25.1167336,1,1,0
VNA6L51356,BLR,MK08,BK12,16,33.9656296,31.0765266,26.7000008,6.24044943,616,41.9,39.22179031,28.51167679,70.1394348,25.019455,1,1,1
G4A6L00014,MAHINDRAG4,PK02,BK32,37,34.4163437,31.0441017,26.5,6.211236,616,41.9,39.22179031,28.51167679,70.2042847,25.0518837,1,1,0
U3A6L38432,U301,MK09,BK11,9,32.619976,31.7153053,26,6.22022486,616,41.9,39.22179031,28.51167679,69.980545,25.1167336,1,1,0
VNA6L51361,BLR,MK08,BK12,10,32.1076546,31.8125839,25.7000008,6.24719095,616,41.9,39.22179031,28.51167679,69.8508453,24.98703,1,1,0
ARA6L20172,MPV,PK02,BK08,56,32.1076546,31.8125839,25.7000008,6.24719095,616,41.9,39.22179031,27.48703003,70.0745773,24.98703,1,1,0
VNA6L51021,BLR,MK08,BK12,6,33.8391724,31.2678375,25.2999992,6.2382021,616,41.9,40.24643326,27.48703003,69.8184204,25.019455,1,1,1
VMA6L61235,BLR,PK02,BK16,91,33.9656296,30.9468231,25.2999992,6.38651705,616,41.9,40.24643326,27.48703003,70.2367096,24.98703,1,1,0
U3A6L38557,U301,PK02,BK13,1635,34.7665367,30.6582375,25,6.44269657,616,41.9,41.2710762,27.48703003,69.8508453,25.0518837,1,1,0
G4A6L00018,MAHINDRAG4,MK08,BK12,15,34.477951,30.7230873,25,6.27191019,616,41.9,41.2710762,27.48703003,70.0745773,24.98703,1,1,1
ARA6L20173,MPV,PK02,BK08,22,35.7295723,30.3080444,25,6.41573048,616,41.9,41.2710762,27.48703003,70.1718597,24.98703,1,1,0
VMA6L61131,BLR,PK02,BK05,,34.7341118,30.8527908,25,6.25393248,616,41.9,42.03956223,26.87743378,69.8832703,24.98703,1,1,0
U3A6L38560,U301,PK02,BK01,109,34.5752296,30.9468231,25,6.26292133,616,41.9,42.03956223,26.87743378,69.8832703,25.0518837,1,1,0
VNA6L50838,BLR,PK02,BK01,4,34.7989655,30.3404694,25,6.23595524,616,41.9,42.03956223,26.87743378,69.9156952,24.9546051,1,1,1
VNA6L51031,BLR,MK08,BK12,15,33.4208832,31.0441017,25,6.29662943,616,41.9,42.03956223,26.87743378,69.8184204,25.1167336,1,1,0
G4A6L00020,MAHINDRAG4,MK08,BK12,2,33.8715973,30.979248,25,6.22247219,616,41.9,42.03956223,26.87743378,69.8184204,25.1167336,1,1,0
U3A6L38558,U301,PK02,BK13,22,33.644619,31.1089516,25,6.18426991,616,41.9,43.06420517,26.87743378,70.1718597,25.0518837,1,1,0
U3A6L38555,U301,PK02,BK13,2,33.2944221,31.3975372,25,6.28089905,616,41.9,43.06420517,26.87743378,69.8184204,25.1167336,1,1,0
VMA6L61132,BLR,PK02,BK05,21,31.627758,32.6134911,25,6.18426991,616,41.9,44.09209061,26.87743378,70.0745773,25.1815834,1,1,1
U3A6L38564,U301,PK02,BK01,1002,71.1348953,19.1245155,25.7999992,6.4943819,607,41.35,70.97276306,24.86057281,71.4526596,24.9254227,1,1,0
U3A6L38562,U301,PK02,BK01,3,70.9403381,19.1569405,25.3999996,6.25168562,607,41.35,70.97276306,24.86057281,71.9357986,25.019455,1,1,0
U3A6L38573,U301,PK02,BK01,1,70.7490311,19.1569405,25.2000008,6.46067429,607,41.35,70.97276306,24.86057281,71.9357986,25.019455,1,1,0
VNA6L51044,BLR,MK01,BK16,1032,70.2691345,19.2217903,24.8999996,6.32584286,607,41.35,70.97276306,24.86057281,71.7412491,24.9546051,1,0,0
VNA6L51015,BLR,MK01,BK16,2,68.6673203,19.5719872,25,6.3505621,607,41.35,70.97276306,24.86057281,71.4850845,24.98703,1,0,1
U3A6L38559,U301,PK02,BK13,1002,69.8832703,19.3806763,26.2000008,6.260674,607,41.35,70.97276306,24.86057281,71.3586273,24.9546051,1,1,0
VMA6L61133,BLR,PK02,BK05,1000,70.2367096,19.1245155,26.2000008,6.40674162,607,41.35,70.97276306,24.86057281,71.9033737,24.98703,1,1,0
U3A6L38561,U301,PK02,BK01,11,71.5823593,18.6770439,25.7999992,6.267416,607,41.35,70.97276306,24.86057281,71.8060989,24.98703,1,1,1
VNA6L51077,BLR,MK01,BK16,9,72.0946884,18.5797691,25.3999996,6.39775276,607,41.35,70.97276306,24.86057281,71.8709488,24.9546051,1,0,0
VBA6L00510,BLR,MK01,BK16,1,72.3508453,18.5797691,25.2000008,6.27640438,607,41.35,70.97276306,24.86057281,72.0946884,24.98703,1,0,0
VNA6L51018,BLR,MK01,BK16,4,72.1271133,18.8035049,25,6.30112362,607,41.35,70.97276306,24.86057281,71.6472168,24.98703,1,0,0
VNA6L51078,BLR,MK01,BK16,1,72.2243881,18.8035049,25.6000004,6.30337095,607,41.35,70.97276306,24.86057281,71.6147919,24.98703,1,0,0
AWA6L11045,W207,MK08,BK12,1021,71.3262024,18.9656296,26.1000004,6.36853933,607,41.35,70.97276306,24.86057281,71.6472168,24.98703,1,1,1
VNA6L51037,BLR,MK08,BK12,2,70.9079132,19.0920906,26,6.27415752,607,41.35,70.97276306,24.86057281,71.5823593,25.019455,1,1,0
